Name,Team,Att,Comp,Comp_p,Yds,Yds_Att,TD,TDp,Long,Int,Int_p,Rating
S. Young.,SF,356,241,67.7,3029,8.5,19,5.3,82,6,1.7,104.7
C. Chandler,ATL,342,202,59.1,2692,7.9,20,5.8,56,7,2,95.1
B. Favre,GB,513,304,59.3,3867,7.5,35,6.8,74,16,3.1,92.6
M. Brunell,JAC,435,264,60.7,3281,7.5,18,4.1,75,7,1.6,91.2
J. George,OAK,521,290,55.7,3917,7.5,29,5.6,76,9,1.7,91.2
D. Bledsoe,NE,522,314,60.2,3706,7.1,28,5.4,76,15,2.9,87.7
L. Elway,DEN,502,280,55.8,3635,7.2,27,5.4,78,11,2.2,87.5
J. Harbaugh,IND,309,189,61.2,2060,6.7,10,3.2,58,4,1.3,86.2
B. Johnson,MIN,452,275,60.8,3036,6.7,20,4.4,56,12,2.7,84.5
B. Hoying,PHI,225,128,56.9,1573,7,11,4.9,72,6,2.7,83.8
W. Moon,SEA,528,313,59.3,3678,7,25,4.7,60,16,3,83.7
T. Dilfer,TB,386,217,56.2,2555,6.6,21,5.4,59,11,2.8,82.8
D. Marino,MIA,548,319,58.2,3780,6.9,16,2.9,55,11,2,80.7
N. O'Donnell,NYJ,460,259,56.3,2796,6.1,17,3.7,70,7,1.5,80.3
S. Mitchell,DET,509,293,57.6,3484,6.8,19,3.7,79,14,2.8,79.6
E. Grabac,KC,314,179,57,1943,6.2,11,3.5,55,6,1.9,79.1
T. Aikman,DAL,518,292,56.4,3283,6.3,19,3.7,64,12,2.3,78
J. Blake,CIN,317,184,58,2125,6.7,8,2.5,50,7,2.2,77.6
V. Testaverde,BAL,470,271,57.7,2971,6.3,18,3.8,54,15,3.2,75.9
K. Stewart,PIT,440,236,53.6,3020,6.9,21,4.8,69,17,3.9,75.2
E. Kramer,CHI,477,275,57.7,3011,6.3,14,2.9,78,14,2.9,74
T. Detmer,PHI,244,134,54.9,1567,6.4,7,2.9,57,6,2.5,73.9
G. Frerotte,WAS,402,204,50.7,2682,6.7,17,4.2,52,12,3,73.8
J. Plummer,ARI,296,157,53,2203,7.4,15,5.1,70,15,5.1,73.1
T. Banks,STL,487,252,51.7,3254,6.7,14,2.9,76,13,2.7,71.5
S. Humphries,SD,225,121,53.8,1488,6.6,5,2.2,72,6,2.7,70.8
D. Kanell,NYG,294,156,53.1,1740,5.9,11,3.7,68,9,3.1,70.7
S. McNair,TEN,415,216,52,2665,6.4,14,3.4,55,13,3.1,70.4
T. Collins,BUF,391,215,55,2367,6.1,12,3.1,77,13,3.3,69.5
K. Graham,ARI,250,130,52,1408,5.6,4,1.6,47,5,2,65.9
C. Whelihan,SD,237,118,49.8,1357,5.7,6,2.5,61,10,4.2,58.3
K. Collins,CAR,381,200,52.5,2124,5.6,11,2.9,59,21,5.5,55.7
